1 business ビジネス、事業
2 company 会社、同行する、仲間
3 office 会社、事務所、役所
4 want 欲しい、望む
5 store 店、蓄え、蓄える
6 way 方法、道、やり方
7 order 注文する、要求
8 call 呼ぶ、電話
9 service サービス、接客
10 base 基本、ベース
11 pay 払う、給料
12 product 商品
13 report レポート、報告する
14 problem 問題
15 job 仕事、勤め口
16 market 市場
17 price 価格、値段
18 rate 割合、率、レート
19 change 変わる、交代する
20 check チェックする、会計、小切手
21 part 部分、役割
22 plan 計画、計画する
23 sale 売る、セール
24 room 部屋
25 area 場所
26 free 自由
27 sure 確かな
28 increase 増える
29 tax 税金
30 receive 受け取る
31 include 含む、入れる
32 program 計画、番組
33 cost 費用、対価
34 government 政府
35 offer 申し込む、進める、申し出
36 charge 料金を課す、料金
37 experience 経験
38 state 述べる、国家、状態
39 information 情報、案内
40 account 口座、勘定
41 turn 戻る、振り返る
42 form 形、形作る
43 decide 決める、決定する
44 customer 顧客、得意先
45 line 線、行列、電話線
46 schedule 予定、予定する
47 sign 署名する、兆候
48 show 見せる
49 drive 運転する、ドライブ
50 return 返す、収益
51 department 百貨店
52 run 走る、経営する
53 close 閉じる、店を閉める
54 serve 奉仕する、仕える
55 cause 引き起こす、原因
56 arrive 到着する
57 board 登場する、板
58 expect 期待する、待つ
59 air 空気
60 system 制度、方式
61 course コース
62 own 所有する、自分自身の
63 bill 請求書、請求する
64 enjoy 楽しむ
65 public 公共、出版する
66 manager 支配人、部長
67 seat 席、席を取る
68 weather 天気
69 stand 立つ、耐える
70 notice 注目する、予告
71 trip 旅行、旅する
72 happen 起こる
73 break 休憩、壊す
74 complete 完成する、完成した
75 fill 埋める
76 floor 床、階
77 age 年、時代
78 type 型、タイプ
79 point 指示する、指摘する、要点
80 passenger 旅客、通行人
81 main 大事な、主の
82 care 気にかける、世話
83 save 貯める、貯蓄
84 develop 開発する
85 provide 提供する
86 allow 許す
87 spend 費やす
88 drop 落とす、一滴
89 hold 保つ
90 mail メールする、メール
91 copy 複写、コピーする
92 international 国際的な
93 pass 通過する、渡す
94 message 伝言
95 front 前面、正面、前
96 condition 状態
97 fire 火、クビにする
98 probably おそらく
99 term 期間、専門用語
100 interest 興味、利子、利息
101 request 要求する、請求
102 foreign 外国の
103 meal 食事
104 control 支配、制御、支配する
105 discount 安くする
106 regular 普通
107 wear 着る、衣服
108 trouble もめごと、問題を起こす
109 expensive 高い
110 industry 工業、産業
111 local 土地の、地元の、普通列車
112 position 位置、地位、姿勢
113 busy 忙しい
114 reach 近づく、到着する
115 traffic 交通
116 value 価値、価格
117 possible 可能な
118 cover カバーする、表紙
119 mind 心、気にする
120 energy 活力
121 result 結果
122 matter 問題、重要になる
123 post 郵便、柱
124 accident 事故
125 amount 量
126 attend 出席する、出席
127 continue 続ける、続行
128 degree 度、学位
129 heart 心、中心、心臓
130 prefer 好む
131 plant 植物、工場
132 discuss 議論する
133 cash 現金、現金にする
134 conversation 会話
135 record 記録、記録する
136 direct 直接
137 head 頭、トップ
138 directly 直接的に
139 party パーティ、政党
140 boss 上司
141 policy 政策、信念
142 fall 落ちる、下がる
143 pick 選ぶ、迎えにいく
144 case 場合、事情、事例
145 airline 航空路
146 necessary 必要な
147 surprise 驚き、驚かせる
148 popular 人気の
149 study 勉強、研究する
150 design 設計する、デザイン
151 medicine 薬、医学
152 law 法律、法則
153 lead 導く、先導
154 list リスト
155 period 期間、ピリオド
156 safe 安全な
157 step 手段、段
158 short 短い、不足
159 apply 申し込む、応用する
160 produce 製造する、産物
161 couple 組の
162 chance 機会
163 present 出席の、現在の
164 fine 元気、罰金
165 force 力、軍隊
166 likely しそうな
167 prepare 用意する、備える
168 decision 決心、決定
169 total 合計の、合計する
170 limit 限界、制限する
171 training 訓練
172 corner 端、角
173 reason 理由
174 limitation 制限
175 add 加える
176 national 国家の、国の
177 face 顔、面と向かう
178 express 表現する
179 demand 要求する、需要
180 depend 頼る
181 repair 修理する、修理
182 gas ガソリン、ガス
183 ship 船、船で運ぶ
184 crowded 込んでいる
185 lose 負ける
186 clear 明白、きれいな
187 sound 音
188 activity 活動
189 crowd 群集
190 daily 日々の
191 raise 上げる
192 catch 捕らえる
193 exercise 運動、運動する
194 skin 肌
195 ground 地面、根拠
196 agree 合意する
197 ready 用意が整った
198 press 押す、新聞
199 tour 旅行
200 date 日付、デートする
201 deal 取引、取引する
202 enter 入る
203 level 水準、平らな、平らにする
204 accept 受け入れる
205 damage 衝撃、衝撃を与える
206 excellent 素晴らしい
207 patient 患者
208 process 経過
209 block 阻む、区画
210 join 加わる
211 remember 思い出す
212 immediatey ただちに、すぐに
213 taste 味
214 downtown 街（繁華街）
215 follow 従う、ついて行く
216 rise 昇る、上る
217 handle 扱う、処理する
218 trade 交換する、貿易する
219 rest 休む、休息
220 cheap 安い、安易な
221 except 除く
222 future 未来
223 land 土地、場所
224 suit 適する、スーツ
225 fail 落第する、失敗する
226 furniture 家具
227 safety 安全
228 language 言葉
229 quarter 四分の一
230 advise アドバイスする
231 ahead 先に、先んじて
232 single 一人、独身
233 cross 渡る、交わる
234 disease 病気
235 earn 稼ぐ
236 improve 改善する
237 favorite 好みの、お気に入りの
238 inform 伝える
239 purpose 目的
240 suggest 提案する
241 choose 選ぶ
242 distance 距離
243 tired 疲れる
244 attention 注目
245 balance 調和、残高、釣り合い
246 balanced 調和の取れた
247 figure 形、姿
248 support 支援、支持する
249 clothes 衣服、衣類
250 dress 着せる、衣服
251 war 戦争
252 appear 現れる
253 address 住所、宛名を書く、公演する
254 careful 注意する
255 branch 枝、支店
256 dial 電話番号を押す
257 fix 修理する
258 promise 約束する、約束
259 media メディア
260 wonder 気になる、思う、驚き
261 race 人種、競争、競争する
262 actually 実際に
263 adult 成人、成人の
264 advice アドバイス
265 appearance 姿、出現
266 warn 警告する
267 angry 怒る
268 announce 告げる
269 announcement 告白
270 claim 要求する、要求
271 general 一般の、全般の
272 create 創造する
273 deliver 運ぶ
274 drug 薬、麻薬
275 salary 給料
276 effort 努力
277 personal 個人的な
278 private 私的な、非公開の
279 recently 最近
280 practice 練習する、練習、実行
281 standard 一般、基準
282 education 教育
283 view 視界、見方、考察する
